2,अ,اَ,اَ,اَ,,,
1,आ,آ,آ,آ,,,
2,इ,اِ,اِ,اِ,,,
4,ई,اِیـ,اِیـ,اِیـ,,,
2,उ,اُ,اُ,اُ,,,
3,ऊ,اُو,اُو,اُو,,,
3,ए,ایـ,ایـ,ایـ,,,
4,ऐ,اَیـ,اَیـ,اَیـ,,,
2,ओ,او,او,او,,,
3,औ,اَو,اَو,اَو,,,
2,अं,ن٘,ن٘,ن٘,,,
1,अः,ھ,ھ,ھ,,,
2,अँ,ن٘,ن٘,ن٘,,,
0,,,,,,,
0,,,,,,,
4,x,ـہ;ـا;ـ◌َـ,ـہ;ـا;ـ◌َـ,ـہ,ـا,ـ◌َـ,
2,ा,ا;ـا,ا;ـا,ـا,ا,ـا,
4,ि,ـی;ـ◌ِـ,ـی;ـ◌ِـ,ـی,ـی,ـ◌ِـ,
5,ी,ـی;◌ِـیـ,ـی;◌ِـیـ,ـی,ـی,◌ِـیـ,
4,ु,ـو;ـ◌ُـ,ـو;ـ◌ُـ,ـو,ـو,ـ◌ُـ,
4,ू,◌ُـو;◌ُـو,◌ُـو;◌ُـو,◌ُـو,◌ُـو,◌ُـو,
3,े,ے;ـیـ,ے;ـیـ,ے,ے,ـیـ,
5,ै,◌َـے;◌َـیـ,◌َـے;◌َـیـ,◌َـے,◌َـے,◌َـیـ,
2,ो,ـو;ـو,ـو;ـو,ـو,ـو,ـو,
4,ौ,◌َـو;◌َـو,◌َـو;◌َـو,◌َـو,◌َـو,◌َـو,
4,ं,ں;ـن٘ـ,ں;ـن٘ـ,ں,ں,ـن٘ـ,
1,ः,ھ;ھ,ھ;ھ,ھ,ھ,ھ,
4,ँ,ں;ـن٘ـ,ں;ـن٘ـ,ں,ں,ـن٘ـ,
0,,,,,,,
1,क,ک,ک,ک,,,
2,ख,کھ,کھ,کھ,,,
1,क़,ق,ق,ق,,,
1,ख़,خ,خ,خ,,,
1,ग,گ,گ,گ,,,
1,ग़,غ,غ,غ,,,
2,घ,گھ,گھ,گھ,,,
1,च,چ,چ,چ,,,
2,छ,چھ,چھ,چھ,,,
1,ज,ج,ج,ج,,,
2,झ,جھ,جھ,جھ,,,
1,ज़,ز,ز,ز,,,
1,ज़़,ذ,ذ,ذ,,,
1,ॹ,ض,ض,ض,,,
1,ॹ़,ظ,ظ,ظ,,,
1,झ़,ژ,ژ,ژ,,,
1,ट,ٹ,ٹ,ٹ,,,
2,ठ,ٹھ,ٹھ,ٹھ,,,
1,ड,ڈ,ڈ,ڈ,,,
2,ढ,ڈھ,ڈھ,ڈھ,,,
1,ड़,ڑ,ڑ,ڑ,,,
2,ढ़,ڑھ,ڑھ,ڑھ,,,
1,त,ت,ت,ت,,,
2,थ,تھ,تھ,تھ,,,
1,त़,ط,ط,ط,,,
2,थ़,طھ,طھ,طھ,,,
1,द,د,د,د,,,
2,ध,دھ,دھ,دھ,,,
1,न,ن,ن,ن,,,
1,ं,ں,ں,ں,,,
2,ऩ,نھ,نھ,نھ,,,
1,ण,ݨ,ݨ,ݨ,,,
2,ङ,ن٘,ن٘,ن٘,,,
1,ञ,ڃ,ڃ,ڃ,,,
1,प,پ,پ,پ,,,
2,फ,پھ,پھ,پھ,,,
1,फ़,ف,ف,ف,,,
1,ब,ب,ب,ب,,,
2,भ,بھ,بھ,بھ,,,
1,म,م,م,م,,,
2,म़,مھ,مھ,مھ,,,
2, य, ی, ی, ی,,,Word initial - marked by a preceeding space
1,ी,ی,ی,ی,,,
2,य़,یھ,یھ,یھ,,,
1,े,ے,ے,ے,,,
1,र,ر,ر,ر,,,
2,ऱ,رھ,رھ,رھ,,,
1,ल,ل,ل,ل,,,
2,ल़,لھ,لھ,لھ,,,
2,ळ,لؕ,لؕ,لؕ,,,
3,ऴ,لؕھ,لؕھ,لؕھ,,,
1,ॉ,و,و,و,,,
2,व़,وھ,وھ,وھ,,,
1,श,ش,ش,ش,,,
2,ष,شھ,شھ,شھ,,,
1,स,س,س,س,,,
1,स़,ص,ص,ص,,,
1,स़़,ث,ث,ث,,,
1,हz,ہ,ہ,ہ,,,
1,ह़,ح,ح,ح,,,
1,ह॒,ۃ,ۃ,ۃ,,,
1,ह,ھ,ھ,ھ,,,
1,ʻ,ع,ع,ع,,,
0,,,,,,,
2,y,ء ,ء ,ء ,,,
3, अ, اَ, اَ, اَ,,,
