# Arabic Unicode inventory. Language-axis maps remain urdu_map / lang_*.csv (lossy).
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+068F	ڏ	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
U+0690	ڐ	ARABIC LETTER DAL WITH FOUR DOTS ABOVE
U+0691	ڑ	ARABIC LETTER RREH
U+0692	ڒ	ARABIC LETTER REH WITH SMALL V
U+0693	ړ	ARABIC LETTER REH WITH RING
U+0694	ڔ	ARABIC LETTER REH WITH DOT BELOW
U+0695	ڕ	ARABIC LETTER REH WITH SMALL V BELOW
U+0696	ږ	ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE
U+0697	ڗ	ARABIC LETTER REH WITH TWO DOTS ABOVE
U+0698	ژ	ARABIC LETTER JEH
U+0699	ڙ	ARABIC LETTER REH WITH FOUR DOTS ABOVE
U+069A	ښ	ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
U+069B	ڛ	ARABIC LETTER SEEN WITH THREE DOTS BELOW
U+069C	ڜ	ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE
U+069D	ڝ	ARABIC LETTER SAD WITH TWO DOTS BELOW
U+069E	ڞ	ARABIC LETTER SAD WITH THREE DOTS ABOVE
U+069F	ڟ	ARABIC LETTER TAH WITH THREE DOTS ABOVE
U+06A0	ڠ	ARABIC LETTER AIN WITH THREE DOTS ABOVE
U+06A1	ڡ	ARABIC LETTER DOTLESS FEH
U+06A2	ڢ	ARABIC LETTER FEH WITH DOT MOVED BELOW
U+06A3	ڣ	ARABIC LETTER FEH WITH DOT BELOW
U+06A4	ڤ	ARABIC LETTER VEH
U+06A5	ڥ	ARABIC LETTER FEH WITH THREE DOTS BELOW
U+06A6	ڦ	ARABIC LETTER PEHEH
U+06A7	ڧ	ARABIC LETTER QAF WITH DOT ABOVE
U+06A8	ڨ	ARABIC LETTER QAF WITH THREE DOTS ABOVE
U+06A9	ک	ARABIC LETTER KEHEH
U+06AA	ڪ	ARABIC LETTER SWASH KAF
U+06AB	ګ	ARABIC LETTER KAF WITH RING
U+06AC	ڬ	ARABIC LETTER KAF WITH DOT ABOVE
U+06AD	ڭ	ARABIC LETTER NG
U+06AE	ڮ	ARABIC LETTER KAF WITH THREE DOTS BELOW
U+06AF	گ	ARABIC LETTER GAF
U+06B0	ڰ	ARABIC LETTER GAF WITH RING
U+06B1	ڱ	ARABIC LETTER NGOEH
U+06B2	ڲ	ARABIC LETTER GAF WITH TWO DOTS BELOW
U+06B3	ڳ	ARABIC LETTER GUEH
U+06B4	ڴ	ARABIC LETTER GAF WITH THREE DOTS ABOVE
U+06B5	ڵ	ARABIC LETTER LAM WITH SMALL V
U+06B6	ڶ	ARABIC LETTER LAM WITH DOT ABOVE
U+06B7	ڷ	ARABIC LETTER LAM WITH THREE DOTS ABOVE
U+06B8	ڸ	ARABIC LETTER LAM WITH THREE DOTS BELOW
U+06B9	ڹ	ARABIC LETTER NOON WITH DOT BELOW
U+06BA	ں	ARABIC LETTER NOON GHUNNA
U+06BB	ڻ	ARABIC LETTER RNOON
U+06BC	ڼ	ARABIC LETTER NOON WITH RING
U+06BD	ڽ	ARABIC LETTER NOON WITH THREE DOTS ABOVE
U+06BE	ھ	ARABIC LETTER HEH DOACHASHMEE
U+06BF	ڿ	ARABIC LETTER TCHEH WITH DOT ABOVE
U+06C0	ۀ	ARABIC LETTER HEH WITH YEH ABOVE
U+06C1	ہ	ARABIC LETTER HEH GOAL
U+06C2	ۂ	ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
U+06C3	ۃ	ARABIC LETTER TEH MARBUTA GOAL
U+06C4	ۄ	ARABIC LETTER WAW WITH RING
U+06C5	ۅ	ARABIC LETTER KIRGHIZ OE
U+06C6	ۆ	ARABIC LETTER OE
U+06C7	ۇ	ARABIC LETTER U
U+06C8	ۈ	ARABIC LETTER YU
U+06C9	ۉ	ARABIC LETTER KIRGHIZ YU
U+06CA	ۊ	ARABIC LETTER WAW WITH TWO DOTS ABOVE
U+06CB	ۋ	ARABIC LETTER VE
U+06CC	ی	ARABIC LETTER FARSI YEH
U+06CD	ۍ	ARABIC LETTER YEH WITH TAIL
U+06CE	ێ	ARABIC LETTER YEH WITH SMALL V
U+06CF	ۏ	ARABIC LETTER WAW WITH DOT ABOVE
U+06D0	ې	ARABIC LETTER E
U+06D1	ۑ	ARABIC LETTER YEH WITH THREE DOTS BELOW
U+06D2	ے	ARABIC LETTER YEH BARREE
U+06D3	ۓ	ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
U+06D4	۔	ARABIC FULL STOP
U+06D5	ە	ARABIC LETTER AE
U+06D6	ۖ	ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA
U+06D7	ۗ	ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
U+06D8	ۘ	ARABIC SMALL HIGH MEEM INITIAL FORM
U+06D9	ۙ	ARABIC SMALL HIGH LAM ALEF
U+06DA	ۚ	ARABIC SMALL HIGH JEEM
U+06DB	ۛ	ARABIC SMALL HIGH THREE DOTS
U+06DC	ۜ	ARABIC SMALL HIGH SEEN
U+06DD	۝	ARABIC END OF AYAH
U+06DE	۞	ARABIC START OF RUB EL HIZB
U+06DF	۟	ARABIC SMALL HIGH ROUNDED ZERO
U+06E0	۠	ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO
U+06E1	ۡ	ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
U+06E2	ۢ	ARABIC SMALL HIGH MEEM ISOLATED FORM
U+06E3	ۣ	ARABIC SMALL LOW SEEN
U+06E4	ۤ	ARABIC SMALL HIGH MADDA
U+06E5	ۥ	ARABIC SMALL WAW
U+06E6	ۦ	ARABIC SMALL YEH
U+06E7	ۧ	ARABIC SMALL HIGH YEH
U+06E8	ۨ	ARABIC SMALL HIGH NOON
U+06E9	۩	ARABIC PLACE OF SAJDAH
U+06EA	۪	ARABIC EMPTY CENTRE LOW STOP
U+06EB	۫	ARABIC EMPTY CENTRE HIGH STOP
U+06EC	۬	ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
U+06ED	ۭ	ARABIC SMALL LOW MEEM
U+06EE	ۮ	ARABIC LETTER DAL WITH INVERTED V
U+06EF	ۯ	ARABIC LETTER REH WITH INVERTED V
U+06F0	۰	EXTENDED ARABIC-INDIC DIGIT ZERO
U+06F1	۱	EXTENDED ARABIC-INDIC DIGIT ONE
U+06F2	۲	EXTENDED ARABIC-INDIC DIGIT TWO
U+06F3	۳	EXTENDED ARABIC-INDIC DIGIT THREE
U+06F4	۴	EXTENDED ARABIC-INDIC DIGIT FOUR
U+06F5	۵	EXTENDED ARABIC-INDIC DIGIT FIVE
U+06F6	۶	EXTENDED ARABIC-INDIC DIGIT SIX
U+06F7	۷	EXTENDED ARABIC-INDIC DIGIT SEVEN
U+06F8	۸	EXTENDED ARABIC-INDIC DIGIT EIGHT
U+06F9	۹	EXTENDED ARABIC-INDIC DIGIT NINE
U+06FA	ۺ	ARABIC LETTER SHEEN WITH DOT BELOW
U+06FB	ۻ	ARABIC LETTER DAD WITH DOT BELOW
U+06FC	ۼ	ARABIC LETTER GHAIN WITH DOT BELOW
U+06FD	۽	ARABIC SIGN SINDHI AMPERSAND
U+06FE	۾	ARABIC SIGN SINDHI POSTPOSITION MEN
U+06FF	ۿ	ARABIC LETTER HEH WITH INVERTED V
U+0750	ݐ	ARABIC LETTER BEH WITH THREE DOTS HORIZONTALLY BELOW
U+0751	ݑ	ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE
U+0752	ݒ	ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW
U+0753	ݓ	ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW AND TWO DOTS ABOVE
U+0754	ݔ	ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE
U+0755	ݕ	ARABIC LETTER BEH WITH INVERTED SMALL V BELOW
U+0756	ݖ	ARABIC LETTER BEH WITH SMALL V
U+0757	ݗ	ARABIC LETTER HAH WITH TWO DOTS ABOVE
U+0758	ݘ	ARABIC LETTER HAH WITH THREE DOTS POINTING UPWARDS BELOW
U+0759	ݙ	ARABIC LETTER DAL WITH TWO DOTS VERTICALLY BELOW AND SMALL TAH
U+075A	ݚ	ARABIC LETTER DAL WITH INVERTED SMALL V BELOW
U+075B	ݛ	ARABIC LETTER REH WITH STROKE
U+075C	ݜ	ARABIC LETTER SEEN WITH FOUR DOTS ABOVE
U+075D	ݝ	ARABIC LETTER AIN WITH TWO DOTS ABOVE
U+075E	ݞ	ARABIC LETTER AIN WITH THREE DOTS POINTING DOWNWARDS ABOVE
U+075F	ݟ	ARABIC LETTER AIN WITH TWO DOTS VERTICALLY ABOVE
U+0760	ݠ	ARABIC LETTER FEH WITH TWO DOTS BELOW
U+0761	ݡ	ARABIC LETTER FEH WITH THREE DOTS POINTING UPWARDS BELOW
U+0762	ݢ	ARABIC LETTER KEHEH WITH DOT ABOVE
U+0763	ݣ	ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
U+0764	ݤ	ARABIC LETTER KEHEH WITH THREE DOTS POINTING UPWARDS BELOW
U+0765	ݥ	ARABIC LETTER MEEM WITH DOT ABOVE
U+0766	ݦ	ARABIC LETTER MEEM WITH DOT BELOW
U+0767	ݧ	ARABIC LETTER NOON WITH TWO DOTS BELOW
U+0768	ݨ	ARABIC LETTER NOON WITH SMALL TAH
U+0769	ݩ	ARABIC LETTER NOON WITH SMALL V
U+076A	ݪ	ARABIC LETTER LAM WITH BAR
U+076B	ݫ	ARABIC LETTER REH WITH TWO DOTS VERTICALLY ABOVE
U+076C	ݬ	ARABIC LETTER REH WITH HAMZA ABOVE
U+076D	ݭ	ARABIC LETTER SEEN WITH TWO DOTS VERTICALLY ABOVE
U+076E	ݮ	ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH BELOW
U+076F	ݯ	ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
U+0770	ݰ	ARABIC LETTER SEEN WITH SMALL ARABIC LETTER TAH AND TWO DOTS
U+0771	ݱ	ARABIC LETTER REH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
U+0772	ݲ	ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH ABOVE
U+0773	ݳ	ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+0774	ݴ	ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+0775	ݵ	ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+0776	ݶ	ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+0777	ݷ	ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
U+0778	ݸ	ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+0779	ݹ	ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+077A	ݺ	ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+077B	ݻ	ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+077C	ݼ	ARABIC LETTER HAH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
U+077D	ݽ	ARABIC LETTER SEEN WITH EXTENDED ARABIC-INDIC DIGIT FOUR ABOVE
U+077E	ݾ	ARABIC LETTER SEEN WITH INVERTED V
U+077F	ݿ	ARABIC LETTER KAF WITH TWO DOTS ABOVE
U+08A0	ࢠ	ARABIC LETTER BEH WITH SMALL V BELOW
U+08A1	ࢡ	ARABIC LETTER BEH WITH HAMZA ABOVE
U+08A2	ࢢ	ARABIC LETTER JEEM WITH TWO DOTS ABOVE
U+08A3	ࢣ	ARABIC LETTER TAH WITH TWO DOTS ABOVE
U+08A4	ࢤ	ARABIC LETTER FEH WITH DOT BELOW AND THREE DOTS ABOVE
U+08A5	ࢥ	ARABIC LETTER QAF WITH DOT BELOW
U+08A6	ࢦ	ARABIC LETTER LAM WITH DOUBLE BAR
U+08A7	ࢧ	ARABIC LETTER MEEM WITH THREE DOTS ABOVE
U+08A8	ࢨ	ARABIC LETTER YEH WITH TWO DOTS BELOW AND HAMZA ABOVE
U+08A9	ࢩ	ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE
U+08AA	ࢪ	ARABIC LETTER REH WITH LOOP
U+08AB	ࢫ	ARABIC LETTER WAW WITH DOT WITHIN
U+08AC	ࢬ	ARABIC LETTER ROHINGYA YEH
U+08AD	ࢭ	ARABIC LETTER LOW ALEF
U+08AE	ࢮ	ARABIC LETTER DAL WITH THREE DOTS BELOW
U+08AF	ࢯ	ARABIC LETTER SAD WITH THREE DOTS BELOW
U+08B0	ࢰ	ARABIC LETTER GAF WITH INVERTED STROKE
U+08B1	ࢱ	ARABIC LETTER STRAIGHT WAW
U+08B2	ࢲ	ARABIC LETTER ZAIN WITH INVERTED V ABOVE
U+08B3	ࢳ	ARABIC LETTER AIN WITH THREE DOTS BELOW
U+08B4	ࢴ	ARABIC LETTER KAF WITH DOT BELOW
U+08B6	ࢶ	ARABIC LETTER BEH WITH SMALL MEEM ABOVE
U+08B7	ࢷ	ARABIC LETTER PEH WITH SMALL MEEM ABOVE
U+08B8	ࢸ	ARABIC LETTER TEH WITH SMALL TEH ABOVE
U+08B9	ࢹ	ARABIC LETTER REH WITH SMALL NOON ABOVE
U+08BA	ࢺ	ARABIC LETTER YEH WITH TWO DOTS BELOW AND SMALL NOON ABOVE
U+08BB	ࢻ	ARABIC LETTER AFRICAN FEH
U+08BC	ࢼ	ARABIC LETTER AFRICAN QAF
U+08BD	ࢽ	ARABIC LETTER AFRICAN NOON
U+08BE	ࢾ	ARABIC LETTER PEH WITH SMALL V
U+08BF	ࢿ	ARABIC LETTER TEH WITH SMALL V
U+08C0	ࣀ	ARABIC LETTER TTEH WITH SMALL V
U+08C1	ࣁ	ARABIC LETTER TCHEH WITH SMALL V
U+08C2	ࣂ	ARABIC LETTER KEHEH WITH SMALL V
U+08C3	ࣃ	ARABIC LETTER GHAIN WITH THREE DOTS ABOVE
U+08C4	ࣄ	ARABIC LETTER AFRICAN QAF WITH THREE DOTS ABOVE
U+08C5	ࣅ	ARABIC LETTER JEEM WITH THREE DOTS ABOVE
U+08C6	ࣆ	ARABIC LETTER JEEM WITH THREE DOTS BELOW
U+08C7	ࣇ	ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE
U+08D3	࣓	ARABIC SMALL LOW WAW
U+08D4	ࣔ	ARABIC SMALL HIGH WORD AR-RUB
U+08D5	ࣕ	ARABIC SMALL HIGH SAD
U+08D6	ࣖ	ARABIC SMALL HIGH AIN
U+08D7	ࣗ	ARABIC SMALL HIGH QAF
U+08D8	ࣘ	ARABIC SMALL HIGH NOON WITH KASRA
U+08D9	ࣙ	ARABIC SMALL LOW NOON WITH KASRA
U+08DA	ࣚ	ARABIC SMALL HIGH WORD ATH-THALATHA
U+08DB	ࣛ	ARABIC SMALL HIGH WORD AS-SAJDA
U+08DC	ࣜ	ARABIC SMALL HIGH WORD AN-NISF
U+08DD	ࣝ	ARABIC SMALL HIGH WORD SAKTA
U+08DE	ࣞ	ARABIC SMALL HIGH WORD QIF
U+08DF	ࣟ	ARABIC SMALL HIGH WORD WAQFA
U+08E0	࣠	ARABIC SMALL HIGH FOOTNOTE MARKER
U+08E1	࣡	ARABIC SMALL HIGH SIGN SAFHA
U+08E2	࣢	ARABIC DISPUTED END OF AYAH
U+08E3	ࣣ	ARABIC TURNED DAMMA BELOW
U+08E4	ࣤ	ARABIC CURLY FATHA
U+08E5	ࣥ	ARABIC CURLY DAMMA
U+08E6	ࣦ	ARABIC CURLY KASRA
U+08E7	ࣧ	ARABIC CURLY FATHATAN
U+08E8	ࣨ	ARABIC CURLY DAMMATAN
U+08E9	ࣩ	ARABIC CURLY KASRATAN
U+08EA	࣪	ARABIC TONE ONE DOT ABOVE
U+08EB	࣫	ARABIC TONE TWO DOTS ABOVE
U+08EC	࣬	ARABIC TONE LOOP ABOVE
U+08ED	࣭	ARABIC TONE ONE DOT BELOW
U+08EE	࣮	ARABIC TONE TWO DOTS BELOW
U+08EF	࣯	ARABIC TONE LOOP BELOW
U+08F0	ࣰ	ARABIC OPEN FATHATAN
U+08F1	ࣱ	ARABIC OPEN DAMMATAN
U+08F2	ࣲ	ARABIC OPEN KASRATAN
U+08F3	ࣳ	ARABIC SMALL HIGH WAW
U+08F4	ࣴ	ARABIC FATHA WITH RING
U+08F5	ࣵ	ARABIC FATHA WITH DOT ABOVE
U+08F6	ࣶ	ARABIC KASRA WITH DOT BELOW
U+08F7	ࣷ	ARABIC LEFT ARROWHEAD ABOVE
U+08F8	ࣸ	ARABIC RIGHT ARROWHEAD ABOVE
U+08F9	ࣹ	ARABIC LEFT ARROWHEAD BELOW
U+08FA	ࣺ	ARABIC RIGHT ARROWHEAD BELOW
U+08FB	ࣻ	ARABIC DOUBLE RIGHT ARROWHEAD ABOVE
U+08FC	ࣼ	ARABIC DOUBLE RIGHT ARROWHEAD ABOVE WITH DOT
U+08FD	ࣽ	ARABIC RIGHT ARROWHEAD ABOVE WITH DOT
U+08FE	ࣾ	ARABIC DAMMA WITH DOT
U+08FF	ࣿ	ARABIC MARK SIDEWAYS NOON GHUNNA
U+FB50	ﭐ	ARABIC LETTER ALEF WASLA ISOLATED FORM
U+FB51	ﭑ	ARABIC LETTER ALEF WASLA FINAL FORM
U+FB52	ﭒ	ARABIC LETTER BEEH ISOLATED FORM
U+FB53	ﭓ	ARABIC LETTER BEEH FINAL FORM
U+FB54	ﭔ	ARABIC LETTER BEEH INITIAL FORM
U+FB55	ﭕ	ARABIC LETTER BEEH MEDIAL FORM
U+FB56	ﭖ	ARABIC LETTER PEH ISOLATED FORM
U+FB57	ﭗ	ARABIC LETTER PEH FINAL FORM
U+FB58	ﭘ	ARABIC LETTER PEH INITIAL FORM
U+FB59	ﭙ	ARABIC LETTER PEH MEDIAL FORM
U+FB5A	ﭚ	ARABIC LETTER BEHEH ISOLATED FORM
U+FB5B	ﭛ	ARABIC LETTER BEHEH FINAL FORM
U+FB5C	ﭜ	ARABIC LETTER BEHEH INITIAL FORM
U+FB5D	ﭝ	ARABIC LETTER BEHEH MEDIAL FORM
U+FB5E	ﭞ	ARABIC LETTER TTEHEH ISOLATED FORM
U+FB5F	ﭟ	ARABIC LETTER TTEHEH FINAL FORM
U+FB60	ﭠ	ARABIC LETTER TTEHEH INITIAL FORM
U+FB61	ﭡ	ARABIC LETTER TTEHEH MEDIAL FORM
U+FB62	ﭢ	ARABIC LETTER TEHEH ISOLATED FORM
U+FB63	ﭣ	ARABIC LETTER TEHEH FINAL FORM
U+FB64	ﭤ	ARABIC LETTER TEHEH INITIAL FORM
U+FB65	ﭥ	ARABIC LETTER TEHEH MEDIAL FORM
U+FB66	ﭦ	ARABIC LETTER TTEH ISOLATED FORM
U+FB67	ﭧ	ARABIC LETTER TTEH FINAL FORM
U+FB68	ﭨ	ARABIC LETTER TTEH INITIAL FORM
U+FB69	ﭩ	ARABIC LETTER TTEH MEDIAL FORM
U+FB6A	ﭪ	ARABIC LETTER VEH ISOLATED FORM
U+FB6B	ﭫ	ARABIC LETTER VEH FINAL FORM
U+FB6C	ﭬ	ARABIC LETTER VEH INITIAL FORM
U+FB6D	ﭭ	ARABIC LETTER VEH MEDIAL FORM
U+FB6E	ﭮ	ARABIC LETTER PEHEH ISOLATED FORM
